A (a),(ā),(eh´-ee)
affluent,af´-lōō-ənt,åh´-floo-eh-n-t
affluently,af´-lōō-ənt-li,åh´-floo-eh-n-t-lee
afflux,af´-ləks,åh´-fluh-ks
afford (affords),ə-fôrd´ (z),uh-foh´-erh-d (z)
affordable,ə-fôrd´-ə-b’l,uh-foh´-erh-duh-bôô-l
affordably,ə-fôrd´-ə-bli,uh-foh´-erh-duh-blee
afforded,ə-fôrd´-ed,uh-foh´-erh-deh-d
affording,ə-fôrd´-iŋ,uh-foh´-erh-dih-eeng
afforest,ə-fôr´-əst,uh-foh´-reh-st
afforestation,ə-fôr´-əs-tā′-shən,uh-foh´-reh-steh′-ee-shuh-n
affranchise,ə-fran´-chīz,uh-fråh´-n-chah-ee-z
affranchised,ə-fran´-chīzd,uh-fråh´-n-chah-ee-zd
affranchises,ə-fran´-chīz-ez,uh-fråh´-n-chah-ee-zeh-z
affranchising,ə-fran´-chīz-iŋ,uh-fråh´-n-chah-ee-zih-eeng
affray,ə-frā´,uh-freh´-ee
affreight,ə-frāt´,uh-freh´-ee-t
affreighter,ə-frāt´-ẽr,uh-freh´-ee-terh
affreightment,ə-frāt´-mənt,uh-freh´-ee-t-meh-n-t
affricate,af ′-rə-kit´,åh′-frih-kih´-t
affrication,af ´-rə-kā′-shən,åh´-frih-keh′-ee-shuh-n
affright,ə-frīt′,uh-fruh´-ee-t
affront (affronts),ə-frunt´(s),uh-fruh´-n-t (s)
affronted,ə-frunt´-ed,uh-fruh´-n-teh-d
affronter (affronters),ə-frunt´-ẽr (z),uh-fruh´-n-terh (z)
affuse,ə-fūz´,uh-fyoo´-z
affused,ə-fūzd´,uh-fyoo´-zd
affuses,ə-fūz´-ez,uh-fyoo´-zeh-z
affusing,ə-fūz´-iŋ,uh-fyoo´-zih-eeng
affusion,ə-fū´-zhən,uh-fyoo´-zhuh-n
Afghan (afghans),af´-gan (z),åh´-f-gåh-n (z)
aficionado (aficionados),ə-fīsh′-yi-nä′-dō (z),uh-fih´-sh-yee-nah′-doh-oo (z)
afield,ə-fēld´,uh-fee´-l-d
afire,ə-f īr´,uh-fuh´-ee-erh
AFL-CIO (American Federation of Labor and Congress of industrial Organizations),,eh-ee eh-f eh-l see ah-ee oh´- oo
AFM (American Federation of Musicians),ā əf əm´,eh-ee eh-f eh´-m
aflame (aflames),ə-flām´ (z),uh-fleh´-ee-m (z)
aflamed,ə-flāmd´,uh-fleh´-ee-m-d
aflaming,ə-flām´-iŋ,uh-fleh´-ee-mih-eeng
afloat (afloats),ə-flōt´ (s),uh-floh´-oo-t (s)
afloated,ə-flōt´-ed,uh-floh´-oo-teh-d
afloating,ə-flōt´-iŋ,uh-floh´-oo-tih-eeng
aflutter (aflutters),ə-flut´-ẽr (z),uh-fluh´-terh (z)
afluttered,ə-flut´-ẽr-d,uh-fluh´-terh-d
afoot,ə-foot´,uh-fôô´-t
afore,ə-fôr´,uh-foh´-erh
aforementioned,ə-fôr´-mən′-shənd,uh-foh´-erh-meh′-n-shuh-n-d
aforesaid,ə-fôr´-səd,uh-foh´-erh-seh-d
aforethought (aforethoughts),ə-fôr´-thôt (s),uh-foh´-erh-thaw-t (s)
afoul,ə-foul´,uh-fah´-oo-l
afraid,ə-frād´,uh-freh´-ee-d
afreet(afrit),ə-frēt´,uh-free´-t
afresh (afreshed),ə-fresh´ (ə-freshd´),uh-freh´-sh (uh-freh´-shd)
afreshes,ə-fresh´-ez,uh-freh´-sheh-z
Africa,af´-ri-kə,åh´-frih-kuh
African (Africans),af´-ri-kən (z),åh´-frih-keh-n (z)
Africaans,af ′-ri-känz´,åh′-frih-kah´-n-z
Africaaner (africaaners),af ′-ri-kän´-ẽr (z),åh′-frih-kah´-nerh (z)
afro (afros),af´-rō (z),åh′-froh-oo (z)
aft,aft,åh´-ft
after,af ´-tẽr,åh´-f-terh
aftereffect (aftereffects),af´-tẽr-ə-fəkt (s),åh´-f-terh-ih-feh-kt (s)
afterglow,af´-tẽr-glō,åh´-f-terh-gloh-oo
afterlife,af´-tẽr-līf,åh´-f-terh-luh-ee-f
aftermath (aftermaths),af´-tẽr-math (af´-tẽr-mathz),åh´-f-terh-måh-th (åh´-f-terh-måh-thz)
afternoon (afternoons),af´-tẽr-nōō′-n (z),åh´-f-terh-noo′-n (z)
aftershock (aftershocks),af ´-tẽr-shok (s),åh´-f-terh-shah-k (s)
aftertaste (aftertastes),af´-tẽr-tāst (s),åh´-f-terh-teh-ee-st (s)
afterthought (afterthoughts),af´-tẽr-thôt (s),åh´-f-terh-thaw-t (s)
afterward (afterwards),af´-tẽr-wẽrd (z),åh´-f-terh-werh-d (z)
AFTRA (American federation of Television and Radio Artists),(af´-trə),åh´-f-truh
Aga (Agha),ä´-gə,ah´-guh
again,ə-gən´,uh-geh´-n
against,ə-gənst´,uh-geh´-n-st
Agamemnon,ag´-ə-məm′-nän´,åh´-guh-meh′-m-nah´-n
agamete,ā-gam´-ēt (ā´-gə -mēt′),eh-ee-gåh´-mee-t (eh´-ee-guh-mee′-t)
agamic,ə-gam´-ik,uh-gåh´-mih-k
agamous,ag´-ə-məs,åh´-guh-muh-s
agamogenesis,ag´-ə-mō-jən′-ə-sis,åh´-guh-moh-oo-jeh′-nih sih-s
agamogenetic,ag´-ə-mō-jə-nət′-ik,åh´-guh-moh-oo-jeh-neh′-tih-k
Agape,ä-gäp´-ā,uh-gah´-peh-ee
agape (agapes),ə-gāp´ (s),uh-geh´-ee-p (s)
agaped,ə-gāpd´,uh-geh´-ee-pd
agaping,ə-gāp´-iŋ,uh-geh´-ee-pih-eeng
agar-agar,ä´-gär-ä´-gär,ah´-gah-erh-ah´-gah-erh
agaric,ə-gar´-ik,uh-gåh´-rih-k
agate (agates),ag´-it (s),åh´-gih-t (s)
agave,ə-gä´-vē,uh-gah´-vee
agaze (agazed),ə-gāz´ (ə-gāzd´),uh-geh´-ee-z (uh-geh´-ee-zd)
agazes,ə-gāz´-ez,uh-geh´-ee-zeh-z
agazing,ə-gāz´-iŋ,uh-geh´-ee-zih-eeng
age,āj,eh´-ee-j
-age,-ij,-ih´-j
aged,ā´-jid (ā- jd),eh´-ee-jih-d (eh´-ee-jd)
agedly,ā´-jid-li,eh´-ee-jih-d-lee
agedness,ā´-jid-nes,eh´-ee-jih-d-neh-s
ageing (aging),āj´-iŋ,eh´-ee-jih-eeng
ageism,āj´-iz-’m,eh´-ee-jih-zih-m
ageless,āj´-ləs,eh´-ee-j-leh-s
agelong,āj´-lôŋ,eh´-ee-j-law-ng
agencies,ā´-jən-sēz,eh´-ee-jeh-n-see-z
agency,ā´-jən-si,eh´-ee-jeh-n-see
agenda (agendas),ə-jən´-də (z),uh-jeh´-n-duh (z)
agene,ā´-jēn,eh´-ee-jee-n
agenesis,ā-jən´-ə-sis,eh-ee-jeh´-nih-sih-s
agent (agents),ā´-jənt (s),eh´-ee-jeh-n-t (s)
agential,ā-jən´-shəl,eh-ee-jeh´-n-shuh-l
agent provocateur,a-zhon´ prō-vō-ka-tũr´,åh-zhah´-n proh-oo-voh-oo-kåh-terh´
agents provocateurs,a-zhonz´ prō-vō-ka-tũrz´,åh-zhah´-n-z proh-oo-voh-oo-kåh-terh´-z
age old,āj´ ōld,eh´-ee-j oh-oo-l-d
ageratum,ə-jer´-ə-təm,uh-jeh´-rih-tuh-m
ages,āj´-ez,eh´-ee-jeh-z
agglomerate (agglomertates),ə-glom′-ə-rāt´ (s),uh-glah′-mih-reh´-ee-t (s)
agglomerated,ə-glom′-ə-rāt´ed,uh-glah′-mih-reh´-ee-teh-d
agglomerating,ə-glom′-ə-rāt´-iŋ,uh-glah′-mih-reh´-ee-tih-eeng
agglomeration,ə-glom´-ə-rāt′-shən,uh-glah´-mih-reh′-ee-shuh-n
agglomerative,ə-glom´-ə-rāt′-tiv,uh-glah´-mih-reh′-ee-tih-v
agglutinant (agglutinants),ə-glōō´-tə-nənt (s),uh-gloo´-tih-neh-n-t (s)
agglutinate (agglutinates),ə-glōō′-tə-nāt´ (s),uh-gloo′-tih-neh´-ee-t (s)
agglutinated,ə-glōō′-tə-nāt´-ed,uh-gloo′-tih-neh´-ee-teh-d
agglutination,ə-glōō´-tə-nā′-shən,uh-gloo´-tih-neh′-ee-shuh-n
agglutinative,ə-glōō´-tə-nā′-tiv,uh-gloo´-tih-neh′-ee-tih-v
agglutinating,ə-glōō′-tə-nāt´-iŋ,uh-gloo′-tih-neh´-ee-tih-eeng
aggradation,ag-grā-dā´-shən,åh-greh-ee-deh´-ee-shuh-n
aggrade (aggrades),ə-grād´ (z),åh-greh´-ee-d (z)
aggraded,ə-grād´-ed,åh-greh´-ee-deh-d
aggrading,ə-grād´-iŋ,åh-greh´-ee-dih-eeng
aggrandize,ə-gran′-dīz´,uh-gråh′-n-dah´-ee-z
aggrandized,ə-gran′-dīzd´,uh-gråh′-n-dah´-ee-zd
aggrandizes,ə-gran′-dīz´-ez,uh-gråh′-n-dah´-ee-zeh-z
aggrandizer (aggrandizers),ə-gran′-dīz´-ẽr (z),uh-gråh′-n-dah´-ee-zerh (z)
aggrandizing,ə-gran′-dīz´-iŋ,uh-gråh′-n-dah´-ee-zih-eeng
aggrandizement,ə-gran′-dīz´-mənt,uh-gråh′-n-dah´-ee-z-meh-n-t
aggravate,ag′-rə-vāt´,åh′-gruh-veh´-ee-t
aggravated,ag′-rə-vāt´-ed,åh′-gruh-veh´-ee-teh-d
aggravating,ag′-rə-vāt´-iŋ,åh′-gruh-veh´-ee-tih-eeng
aggravatingly,ag′-rə-vāt´-iŋ-li,åh′-gruh-veh´-ee-tih-eeng-lee
aggravation (aggravations),ag′-rə-vā´-shən (z),åh′-gruh-veh´-ee-shuh-n (z)
aggravates,ag′-rə-vāts´,åh-gruh-veh´-ee-ts
aggregate (aggregates),ag´-ri-git (s) (ag′-ri-gāt´) (s),åh´-grih-gih-t (s) (åh′-grih-geh´-ee-t) (s)
aggregated,ag′-ri-gāt´-ed,åh′-grih-geh´-ee-teh-d
aggregately,ag′-ri-gāt´-li,åh′-grih-geh´-ee-t-lee
aggregating,ag′-ri-gāt´-iŋ,åh′-grih-geh´-ee-tih-eeng
aggregation (aggregations),ag´-ri-gāt′-shən (z),åh´-grih-geh′-ee-shuh-n (z)
aggregative,ag´-ri-gāt′-tiv,åh´-grih-geh′-ee-tih-v
aggress,ə-grəs´,uh-greh´-s
aggression,ə-grəsh´-ən,uh-greh´-shuh-n
aggressions,ə-grəsh´-ənz,uh-greh´-shuh-n-z
aggressive,ə-grəs´-iv,uh-greh´-sih-v
aggressively,ə-grəs´-iv-li,uh-greh´-sih-v-lee
aggressiveness,ə-grəs´-iv-nes,uh-greh´-sih-v-neh-s
aggressor,ə-grəs´-ẽr,uh-greh´-serh
aggressors,ə-grəs´-ẽrz,uh-greh´-serh-z
aggrieve (aggrieves),ə-grēv´ (z),uh-gree´-v (z)
aggrieved,ə-grēvd´,uh-gree´-vd
aggrieving,ə-grēv´-iŋ,uh-gree´-vih-eeng
aghast,ə-gast´,uh-gåh´-st
agile,aj´-əl (aj´-īl),åh´-jih-l (åh´-jah-ee-l)
agileness,aj´-īl-nes,åh´-jah-ee-l-neh-s
agilities,aj-il´-ə-tēz,uh-jih´-lih-teez
agility,aj-il´-ə-ti,uh-jih´-lih-tee
agio,aj′-i-ō´,åh′-jee-oh´-oo
agiotage,aj´-i-ə-tij,åh´-jee-oh-tih-j
agitate,aj′-ə-tāt´,åh′-jih-teh´-ee-t
agitated,aj′-ə-tāt´-ed,åh′-jih-teh´-ee-teh-d
agitatedly,aj′-ə-tāt´-ed-li,åh′-jih-teh´-ee-teh-d-lee
agitates,aj′-ə-tāts´,åh′-jih-teh´-ee-ts
agitating,aj′-ə-tāt´-iŋ,åh′-jih-teh´-ee-tih-eeng
agitation,aj´-ə-tā′-shən,åh´-jih-teh′-ee-shuh-n
agitative,aj´-ə-tā′-tiv,åh´-jih-teh′-ee-tih-v
agitatively,aj´-ə-tā′-tiv-li,åh´-jih-teh′-ee-tih-v-lee
agitato,aj´-ə-tä′-tō,åh´-jih-tah′-toh-oo
agitator (agitators),aj′-ə-tāt´-ẽr (z),åh′-jih-teh´-ee-terh (z)
agleam,ə-glēm´,uh-glee´-m
aglet (aglets),ag´-lət (s),åh´-g-leh-t (s)
agley,ə-glē´,uh-glee´
aglimmer,ə-glim´-ẽr,uh-glih´-merh
aglitter,ə-glit´-ẽr,uh-glih´-terh
aglow,ə-glō´,uh-gloh´-oo
agnail,ag´-nāl,åh´-g-neh-ee-l
agnate,ag´-nāt,åh´-g-neh-ee-t
agnatic,ag-nā´-tik,åh-g-neh´-ee-tih-k
agnation,ag-nā´-shən,åh-g-neh´-ee-shuh-n
agnomen,ag-nō´-mən,åh-g-noh´-oo-meh-n
agnomina,ag-nō´-mə-nə,åh-g-noh´-oo-mih-nuh
agnostic (agnostics),ag-nos´-tik (s),åh-g-nah´-stih-k (s)
agnosticism,ag-nos′-tə-siz´-‘m,åh-g-nah′-stih-sih´-zih-m
Agnus Dei,ag′-nəs dē´-ī (ä′-nyōōs də´-ē),åh′-g-nuh-s dee´-ah-ee (ah′-nyoo-s deh´-ee)
ago,ə-gō´,uh-goh´-oo
agog,ə-gog´,uh-gah´-g
agon,ag´-ōn (ag-ōn´),åh´-goh-oo-n (åh-goh´-oo-n)
agonal,ag´-ə-nəl,åh´-guh-nuh-l
agones,ə -gōn´-ēz,uh-goh´-oo-nee-z
agonic,ā-gon´-ik,eh-gah´-nih-k
agonies,ag´-ō-nēz (ag´-ə-nēz),åh´-goh-oo-nee-z (åh´-eeg-uh-nee-z)
agonist,ag´-ə-nist,åh´-guh-nih-st
agonize,ag′-ō-nīz´ (ag′-ə-nīz´),åh′-goh-oo-nah´-ee-z (åh′-guh-nah´-ee-z)
agonized,ag′-ō-nīzd´,åh′-goh-oo-nah´-ee-zd
agonizes,ag′-ō-nīz´-ez,åh′-goh-oo-nah´-ee-zeh-z
agonizing,ag′-ə-nīz´-iŋ,åh′-guh-nah´-ee-zih-eeng
agonizingly,ag′-ə-nīz´-iŋ-li,åh′-guh-nah´-ee-zih-eeng-lee
agony,ag´-ō-ni (ag´-ə-ni),åh´-goh-oo-nee (åh´-guh-nee)
agons,ag-ōnz´,åh-goh´-oo-n-z
agora-,ag´-gə-rə-,åh´-goh-ruh-
agouti (agouty),ə-gōō´-ti,uh-goo´-tee
agoraphobia,ag-ôr´-ə-fō′-bi-ə,åh-goh´-ruh-foh′-oo-bee-uh
agraffe,ə-graf´,uh-gråh´-f
agranulocyte,ə-gran´-ū-lō′-sīt,uh-gråh´-n-yoo-loh′-oo-suh-ee-t
agranulocytosis,ə-gran´-ū-lō-sī-tō′-sis,uh-gråh´-n-yoo-loh-oo-suh-ee-toh′-oo-sih-s
agrapha,ag´-grə-fə,åh´-gruh-fuh
agraphia,ə-graf´-i-ə,uh-gråh´-fee-uh
agrarian,ə-grâr´-i-ən,uh-greh´-ree-uh-n
agrarianism,ə-grâr´-i-ən-iz’m,uh-greh´-ree-uh-nih-zih-m
agree (agrees),ə-grē´ (z),uh-gree´ (z)
agreed,ə-grēd´,uh-gree´-d
agreeability,ə-grē´-ə-bil′-ə-ti,uh-gree´-uh-bih′-lih-tee
agreeable,ə-grē´-ə-b’l,uh-gree´-uh-bôô-l
agreeableness,ə-grē´-ə-b’l-nes,uh-gree´-uh-bôô-l-neh-s
agreeably,ə-grē´-ə-bli,uh-gree´-uh-blee
agreeing,ə-grē´-iŋ,uh-gree´-ih-eeng
agreement (agreements),ə-grē´-mənt (s),uh-gree´-meh-n-t (s)
agrément (agréments),ä´-grā-mänt′ (s),ah´-greh-ee-mah′-n-t (s)
agrestic,ə-grəs´-tik,ah-greh´-stih-k
agricultural,ag´-rə-kul′-chẽr-əl,åh´-grih-kuh′-l-cherh-uh-l
agriculturally,ag´-rə-kul′-chẽr-əl-li,åh´-grih-kuh′-l-cherh-uh-lee
agriculturalist (agriculturalists),ag´-rə-kul′-chẽr-əl-ist (s),åh´-grih-kuh′-l-cherh-uh-lih-st (s)
agriculture (agricultures),ag′-rə-kul´-chẽr (z),åh′-grih-kuh´-l-cherh (z)
agriculturist (agriculturists),ag′-rə-kul´-chẽr-ist (s),åh′-grih-kuh´-l-cherh-ih-st (s)
agrimonies,ag′-rə-mō´-nēz,åh′-grih-moh´-oo-nee-z
agrimony,ag′-rə-mō´-ni,åh′-grih-moh´-oo-nee
agriologist (agriologists),ag´-ri-ol′-ə-jist (s),åh´-gree-ah′-luh-jih-st (s)
agriology,ag´-ri-ol′-ə-ji,åh´-gree-ah′-luh-jee
agro-,ag´-rō-,åh´-groh-oo-
agrobiologic,ag´-rō-bī-ə-loj′-ik,åh´-groh-oo-bah-ee-oh-lah′-jih-k
agrobiology,ag´-rō-bī-ol′-ə- ji,åh´-groh-oo-bah-ee-ah′-luh-jee
agrologic,ag´-rō-loj′-ik,åh´-groh-oo-lah′-jih-k
agrologist (agrologists),ag´-rol′-ə-jist (s),åh´-grah′-luh-jih-st (s)
agrology,ag´-rol′-ə-ji,åh´-grah′-luh-jee
agronomic,ag´-rō-nom′-ik,åh´-groh-oo-nah′-mih-k
agronomical,ag´-rō-nom′-ik-əl,åh´-groh-oo-nah′-mih-kuh-l
agronomist (agronomists),ə-gron´-ə-mist (s),uh-grah´-noh-mih-st (s)
agronomy,ə-gron´-ə-mi,uh-grah´-nuh-mee
agrotechny,ag′-rō-tek-ni,åh′-groh-oo-teh-k-nee
aground,ə-ground´,uh-grah´-oo-n-d
ague,ā´-gū,eh´-ee-gyoo
aguish,ā´-gū-ish,eh´-ee-gyoo-ih-sh
aguishly,ā´-gū-ish-li,eh´-ee-gyoo-ih-sh-lee
ah (ahh) (ahs) (ahhhz),ä (z),ah (z)
aha,ə-hä´,uh-hah´
ahead,ə-həd´,uh-heh´-d
ahem,ə-həm´,uh-heh´-m
ahimsa,ə-him´-sä,uh-hih´-m-sah
ahistoric,ā-hə-stôr´-ik,eh-ee-hih-stoh´-rih-k
ahoy,ə-hoi´,uh-hoh´-ee
aid (aide) (aids) (aides),ād (z),eh´-ee-d (z)
aided,ād´-ed,eh´-ee-deh-d
aide de camp,ād′ di kamp´,eh′-ee-d dee kåh´-m-p
aides de camp,ādz′ di kamp´,eh′-ee-dz dee kåh´-m-p
aider (aiders),ād´-ẽr (z),eh´-ee-derh (z)
aiding,ād´-iŋ,eh´-ee-dih-eeng
AIDS (Acquired Immune Deficiency Syndrome),ādz,eh´-ee-dz
aiglet (aiglets),ā´-glət(s),eh´-ee-gleh-t(s)
aigrette,ā-grət´,eh-ee-greh´-t
aiguille,ā-gwēl´,eh´-ee-gwee´-l
aiguillette,ā-gwēl´-ət,eh´-ee-gwee´-leh-t
ail (ails),āl (z),eh´-ee-l (z)
ailed,āld´,eh´-ee-l-d
ailing,āl´-iŋ,eh´-ee-lih-eeng
ailanthus,ā-lan´-thəs,eh-ee-låh´-n-thuh-s
ailanthuses,ā-lan´-thəs-ez,eh-ee-låh´-n-thuh-seh-z
aileron,ā′-lə-ron,eh′-ee-lih-rah´-n
ailment (ailments),āl´-mənt (s),eh′-ee-l-meh-n-t (s)
aim (aims),ām (z),eh´-ee-m (z)
aimed,āmd,eh´-ee-m-d
aimer (aimers),ām´-ẽr (z),eh´-ee-meh (z)
aiming,ām´-iŋ,eh´-ee-mih-eeng
aimless,ām´-les,eh´-ee-m-leh-s
aimlessly,ām´-les-li,eh´-ee-m-leh-slee
ain’t (isn’t) (is not),ānt (iz´-nt) (iz not´),eh´-ee-n-t (ih´-zih-n-t) (ih-z nah´-t)
air (airs),âr (z),eh´-erh (z)
aired,ârd,eh´-erh-d
airborne,âr´-bôrn,eh´-erh-boh-erh-n
aircondition,âr´-kən-dish′-ən,eh´-erh-kuh-n-dih′-shuh-n
airconditioned,âr´-kən-dish′-ənd,eh´-erh-kuh-n-dih′-shuh-n-d
airconditioner (airconditioners),âr´-kən-dish′-ən-ẽr (z),eh´-erh-kuh-n-dih′-shuh-nerh (z)
airconditioning (A.C.),âr´-kən-dish′-ən-iŋ,eh´-erh-kuh-n-dih′-shuh-nih-eeng
air cooled,âr kōōld´,eh´-erh koo´-l-d
aircraft (aircrafts),âr´-kraft (s),eh´-erh-kråh-ft (s)
air current (air currents),âr´ kẽr-ənt (s),eh´-erh kerh-eh-n-t (s)
air defence,âr´ di-fəns´,eh´-erh dee-feh´-n-s
air duct (air ducts),âr´ dəkt (s),eh´-erh duh-kt (s)
airedale (airdales),âr´-dāl (z),eh´-erh-deh-ee-l (z)
airfield (airfields),âr´-fēld (z),eh´-erh-fee-l-d (z)
airflow (airflows),âr´-flō (z),eh´-erh-floh-oo (z)
airfoil (airfoils),âr´-foil (z),eh´-erh-foh-ee-l (z)
Air Force (USAF),âr´ fôrs´,eh´-erh foh´-erh-s
Air Forces,âr´ fôrs-ez,eh´-erh foh´-erh-seh-z
air gun (air guns),âr´ gən (z),eh´-erh guh-n (z)
airhead (airheads),âr´-həd (z),eh´-erh-heh-d (z)
air hole (air holes),âr´ hōl (z),eh´-erh hoh-oo-l (z)
airier,âr´-i-er,eh´-ree-erh
airiest,âr´-i-əst,eh´-ree-eh-st
airily,âr´-ə-li,eh´-rih-lee
airiness,âr´-i-nes,eh´-ree-neh-s
airing,âr´-iŋ,eh´-rih-eeng
airlift (airlifts,âr´-lift (s),eh´-erh-lih-ft (s)
airline (airlines),âr´-līn (z),eh´-erh-lah-ee-n (z)
airmail (airmails),âr´-māl (z),eh´-erh-meh-ee-l (z)
airman (airmen),âr´-mən,eh´-erh-muh-n (eh´-erh-meh-n)
air mass,âr´ mas,eh´-erh måh-s
air mile (air miles),âr´ mīl (z),eh´-erh mah-ee-l (z)
airplane (airplanes),âr´-plān (z),eh´-erh-pleh-ee-n (z)
air pocket (air pockets),âr´ pok´-ət(s),eh´-erh pah´-keh-t (s)
airport (airports),âr´-pôrt (s),eh´-erh-poh-erh-t (s)
air pressure,âr´ prəsh´-ẽr,eh´-erh preh´-sherh
air raid (air raids),âr´ rād (z),eh´-erh reh-ee-d (z)
airship (airships),âr´-ship (s),eh´-erh-shih-p (s)
airspace,âr´-spās,eh´-erh-speh-ee-s
airspeed (airspeeds),âr´-spēd (z),eh´-erh-spee-d (z)
airstrike (airstrikes),âr´-strīk (s),eh´-erh-struh-ee-k (s)
airstrip (airstrips),âr´-strip (s),eh´-erh-strih-p (s)
airtight,âr´-tīt´,eh´-erh-tuh´-ee-t
air time,âr´ tīm´,eh´-erh tah´-ee-m
air traffic control,âr´ traf´-ik kən-trōl´,eh´-erh tråh´-fih-k kuh-n-troh´-oo-l
airwave (airwaves),âr´-wāv (z),eh´-erh-weh-ee-v (z)
airworthier,âr´-wũr´-thi-ẽr,eh´-erh-werh´-thee-erh
airworthiest,âr´-wũr´-thi-əst,eh´-erh-werh´-thee-eh-st
airworthiness,âr´-wũr´-thi-nes,eh´-erh-werh´-thee-neh-s
airworthy,âr´-wũr´-thi,eh´-erh-werh´-thee
airway (airways),âr´-wā (z),eh´-erh-weh-ee (z)
airy,âr´-i,eh´-ree
aisle (aisles),īl (z),ah´-ee-l (z)
aisled,īld,ah´-ee-l-d
ait,āt,eh´-ee-t
aitch (ach) (H) (h),āch,eh´-ee-ch
ajar (ajars),ə-jär´(z),uh-jah´-erh (z)
ajared,ə-järd´,uh-jah´-erh-d
AKA (also known as),ā´ kā ā′,eh´-ee keh-ee eh′-ee
akela,ə-kē´-lə,uh-kee´-luh
akimbo,ə-kim´-bō,uh-kih´-m-boh-oo
akin,ə-kin´,uh-kih´-n
akvavit,ak′-vä-vēt´,åh′-k-vah-vee´-t
AL (American League),ā əl´,eh-ee eh´-l
à la,ä´ lä (ä´-lə),ah´ -lah (ah´-luh)
ala,ā´-lə,eh´-ee-luh
Alabaman,al´-ə-bam′-ən,åh´-luh-båh′-meh-n
alabaster,al′-ə-bas´-tẽr,åh′-luh-båh´-sterh
alabastrine,al′-ə-bas´-trin,åh′-luh-båh´-strih-n
à la carte,ä′-lə kärt´,ah′-luh kah´-erh-t
alack (-a-day ),ə-lak´ (-ə-dā′),uh-låh´-k (-uh-deh′-ee)
alacrity,ə-lak´-rə-ti,uh-låh´-krih-tee
Aladddin,ə-lad´-in,uh-låh´-dih-n
alae,ā´-li,eh´-ee-lee
à la king,ä′-lə kiŋ´,ah′-luh kih´-eeng
alameda (alamedas),al´-ə-mē′-də (z),åh´-luh-mee-duh (z)
Alamo,al′-ə-mō´,åh′-luh-moh´-oo
alamode (ala mode),al´-ə-mōd′ (äl´-ə-mōd′),åh´-luh-moh′-oo-d (ah´-luh-moh′-oo-d)
alar,ā´-lẽr,eh´-ee-lerh
alarm (alarms),ə-lärm´ (z),uh-lah´-erh-m (z)
alarmed,ə-lärmd´,uh-lah´-erh-m-d
alarming,ə-lärm´-iŋ,uh-lah´-erh-mih-eeng
alarmingly,ə-lärm´-iŋ-li,uh-lah´-erh-mih-eeng-lee
alarmism,ə-lärm´-iz-’m,uh-lah´-erh-mih-zih-m
alarmist (alarmists),ə-lärm´-ist (s),uh-lah´-erh-mih-st (s)
alarum,ə-lâr´-əm,uh-leh´-ruh-m
alas (woe is me),ə-las´,uh-låh´-s
Alaskan (Alaskans),ə-las´-kən (z),uh-låh´-skeh-n (z)
alate (alates),ā´-lāt (s),eh´-ee-leh-ee-t (s)
alated,ā´-lāt-ed,eh´-ee-leh-ee-teh-d
alation,ā-lā´-shən,eh-ee-leh´-ee-shuh-n
alb (albs),alb (z),åh´-lb (z)
albacore,al′-bə-kôr´,åh′-l-buh-koh´-erh
Albanian (Albanians),al-bā´-ni-ən (z),åh-l-beh´-ee-nee-eh-n (z)
albata,al-bā´-tə,åh-l-beh´-ee-tuh
albatross,al′-bə-trôs´,åh′-l-buh-traw´-s
albatrosses,al′-bə-trôs´-ez,åh′-l-buh-traw´-seh-z
albedo,al-bē´-dō,åh-l-bee′-doh-oo
albertype,al′-bẽr-tīp´,åh′-l-berh-tuh´-ee-p
albeit,ôl-bē´-it,aw-l-bee´-ih-t
albescent,al-bəs´-ənt,åh-l-beh´-sih-n-t
albinic,al-bin´-ik,åh-l-bih´-nih-k
albinism,al′-bī-niz´-‘m,åh′-l-bah-ee-nih´-zih-m
albino (albinos),al-bī´-nō (z),åh-l-bah′-ee-noh-oo (z)
albion,al′-bi-on,al′-bee-ah-n
albite,al´-bīt,åh´-l-buh-ee-t
album (albums),al´-bəm (z),åh´-l-buh-m (z)
albumen,al-bū´-mən,åh-l-byoo´-meh-n
albumenize,al-bū′-mən-īz´,åh′-l-byoo-meh-nah´-ee-z
albumenized,al-bū′-mən-īzd´,åh′-l-byoo-meh-nah´-ee-zd
albumenizes,al-bū′-mən-īz´-ez,åh′-l-byoo-meh-nah´-ee-zeh-z
albumenizing,al-bū′-mən-īz´-iŋ,åh′-l-byoo-meh-nah´-ee-zih-eeng
albumin,al-bū´-min,åh-l-byoo´-mih-n
albuminoid,al-bū′-mə-noid´,åh-l-byoo′-mih-noh´-ee-d
albuminose,al-bū´-min-ōs,åh-l-byoo´-mih-noh-oo-s
albuminous,al-bū´-min-əs,åh-l-byoo´-mih-nuh-s
albuminuria,al-bū´-mə-noo′-ri-ə,åh-l-byoo´-mih-nôô′-ree-uh
albumose,al-bū´-mōs,åh-l-byoo´-moh-oo-s
alburnum,al-boor´-nəm,åh-l-bôô´-erh-nuh-m
alcaide (alcayde),al-kī´-dē,åh-l-kah´-ee-dee
alcalde (alcade),al-kal´-dē (al-kād´),åh-l-kåh´-l-dee (åh-l-keh´-ee-d)
alcazar,al´-kə-zär,åh´-l-kuh-zah-erh
alchemist (alchemists),al´-kə-mist (s),åh´-l-keh-mih-st (s)
alchemy,al´-kə-mi,åh´-l-keh-mee
